"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"BURNTSDE","Burntside Lake",325,-24,904,"Radiocarbon years BP",TRUE,-24,69,NA,NA,FALSE
"CAMPBELL","Campbell Lake",334,-12,343,"Radiocarbon years BP",TRUE,-15,96,NA,NA,FALSE
"CEDARBLK","Cedar Bog",352,-10,11056,"Radiocarbon years BP",TRUE,-10,7880,NA,NA,FALSE
"CINDY","Cindy Pond",382,-9,495,"Radiocarbon years BP",TRUE,-15,72,NA,NA,FALSE
"MNGRCL","Cottonwood Lake",515,-12,165,"Radiocarbon years BP",TRUE,-15,82,NA,NA,FALSE
"CRAZY","Crazy Pond",521,-9,552,"Radiocarbon years BP",TRUE,-15,75,NA,NA,FALSE
"DALTON","Dalton Lake",545,-12,256,"Radiocarbon years BP",TRUE,-15,81,NA,NA,FALSE
"DOGFISH","Dogfish Lake",717,-24,189,"Radiocarbon years BP",TRUE,-24,55,NA,NA,FALSE
"DUNNIGAN","Dunnigan Lake",774,-33,237,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"EASTTWIN","East Twin Lake",781,-5,915,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"EGGERT","Eggert Lake",786,-12,433,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"FAITH","Faith Pond",817,-12,291,"Radiocarbon years BP",TRUE,-15,78,NA,NA,FALSE
"FARQUAR","Farquar Lake",822,-12,419,"Radiocarbon years BP",TRUE,-15,96,NA,NA,FALSE
"FAWNLAKE","Fawn Lake",824,-10,602,"Radiocarbon years BP",TRUE,-15,87,NA,NA,FALSE
"FOXPOND","Fox Pond",846,-13,2759,"Radiocarbon years BP",TRUE,-15,75,NA,NA,FALSE
"FRENCH","French Lake",850,10,3524,"Radiocarbon years BP",TRUE,10,3495,NA,NA,FALSE
"GEORGE","George Lake",869,-12,1500,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"MNBELG","George Lake",15245,-10,275,"Calendar years BP",TRUE,-13,90,NA,NA,TRUE
