id sitename handle lat long state altitude type age age_old bacon_depth ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1269.20141524822 1240 79.5 7 0 92 5 2 6 106 1 42 184 3.5 3
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1307.04434407013 1290 84.5 3 0 11 4 0 1 33 0 17 76 0.5 0
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1344.54352284571 1340 89.5 1 0 24 1 1 1 44 2 24 92 3 0
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1379.07672487423 1382 94.5 1 0 18 2 4 0 39 2 13 143 2.5 1
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1411.5836687504 1424 99.5 2 0 52 3 1 3 62 2.5 37 312 6.5 2
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1450.31079466806 1470 104.5 5 0 33 5 1 4 28 1.5 28 136 2.5 4
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1511.08829995152 1547 109.5 3 1 27 2 1 4 29 0.5 14 108 0 2
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1587.85297375833 1624 114.5 1 1 23 4 1 3 72 1 33 85 1.5 0
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1665.90636759338 1701 119.5 2 1 67 5 0 2 122 1 29 263 4.5 4
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1760.63476290792 1794 125.5 4 0 43 6 0 1 96 0.5 29 236 6 0
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1855.2954760877 1886 131.5 5 0 66 6 0 5 146 1.5 42 150 4.5 3
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 1984.66174015045 2014 137.5 22 0 112 13 1 5 114 1 74 224 1.5 1
CLH5 Lone02 LONE 45.932 -92.2359 WI 284 Radiocarbon 2048.91002582992 2065 139.5 13 0 105 20 2 5 152 2 62 254 4.5 7
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 39.7343871360444 80 38.5 0 0 26 5 1 0 12 5 18 156 2 0
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 72.4373296405754 106 41.5 4 0 32 3 2 4 30 3 25 334 9 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 138.220380418079 156 47.5 1 0 29 3 1 2 23 4 24 323 24 6
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 204.392690539873 207 53.5 4 0 52 4 0 8 29 1 29 296 13 1
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 272.821431882578 258 59.5 1 0 43 5 2 2 31 2 28 281 11 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 341.605838749426 308 65.5 1 0 43 5 2 3 30 2 19 309 5 1
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 395.744655021493 355 71.5 4 0 36 3 1 2 21 3 19 334 8 3
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 432.523983559531 394 77.5 2 0 42 2 1 3 20 2 18 324 1 4
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 467.242050187812 433 83.5 1 0 42 4 0 3 27 4 15 309 2 4
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 501.892228945333 472 89.5 0 0 46 1 1 5 27 2 23 302 5 1
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 537.816243432978 511 95.5 0 0 24 3 3 3 20 1 11 337 10 2
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 573.65086167957 551 101.5 1 0 20 1 1 2 23 1 12 357 3 3
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 609.152112212094 590 107.5 1 0 47 2 3 1 26 1 11 313 8 3
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 644.745777747631 629 113.5 3 0 45 4 2 2 32 1 13 316 7 1
CLH6 Warner WARNER 46.121 -92.039 WI 306 Radiocarbon 679.88827513356 668 119.5 2 0 19 3 2 1 28 0 17 331 4 3
