"ID","longitude","latitude","altitude","mean.idw.age.2d","sd.idw.age.2d","lower.95.idw.2d","upper.95.idw.2d","mean.idw.age.3d","sd.idw.age.3d","lower.95.idw.3d","upper.95.idw.3d"
502,967.024623,126.544555,183,11257.7664001506,76.6401792842665,11111.2894091201,11410.9342790764,11259.5689341576,74.9484051434801,11119.4210000845,11410.156940997
504,1345.109139,425.158011,262.8,10829.3772397803,178.816699641014,10524.1116410635,11120.1914259866,11081.6874567278,116.225734526115,10864.1064735904,11287.7422766909
505,1042.169813,859.546311,228,11136.5897969040,72.2709206433513,10997.5540067640,11270.5029983081,11136.666462246,71.521406552756,10999.2126171772,11269.6272791255
508,1751.719363,526.020445,351.6,11080.9843520337,74.8317574615522,10942.4501461036,11219.9769009976,11082.0755615847,73.6458012916342,10944.4764635093,11215.3934791386
512,1216.484364,722.75955,183,11157.8111817314,102.416899037987,10959.2550708696,11347.3507337324,11165.3665955285,101.531027576392,10968.6228192313,11352.9663551183
515,60.980983,393.962783,255.6,10698.1713554706,68.260679044654,10569.5836450479,10825.7728183232,10721.6535724122,69.2144701317523,10591.5266631163,10850.0323090991
517,466.196158,1010.980856,150,10916.1124192083,117.131757104811,10709.7548076081,11120.9049485849,10915.7723445638,113.703918670272,10713.1877067459,11115.2205269604
522,490.223977,743.003732,308.4,10812.6221664994,79.3074149470738,10665.6279551913,10962.1605173124,10832.0522036794,82.6069604263847,10680.0552636551,10985.8799071723
523,1672.993563,364.487447,138,11070.151378391,97.3437268863267,10896.7359254786,11239.2717334861,11185.0416230873,87.8503990320501,11020.8855105879,11346.0021422926
534,505.65161,1030.153425,150,10935.2465104294,106.309037018564,10744.0882447745,11124.7502262437,10934.9181801148,103.799625579149,10747.5825286765,11120.8826448800
539,1684.011097,351.384315,73.2,11052.3651124207,101.376307307419,10876.4478597693,11225.7114730283,11304.4095466877,113.813283404469,11117.5809564807,11492.5548989569
542,1227.430624,498.313784,55.2,11488.6380996434,172.15056218771,11187.9965261502,11772.3265105602,11243.7019095137,133.577680372926,10987.2827134811,11489.8848598335
552,-97.784583,650.464798,237,11065.5558792297,115.129988899887,10851.7071117509,11288.8853196752,11041.894326057,117.460294747437,10825.1300382229,11265.0925498506
554,163.13445,256.843361,211.2,10824.5938900254,58.5826593687868,10717.6038474967,10940.6576045187,10821.1827163946,58.5724439399281,10713.802118854,10937.2290183949
559,547.795885,643.309012,234,10803.7918548531,59.5966633954856,10690.2636606156,10923.6101875510,10808.0569451556,59.9439020829408,10694.0389640897,10928.5257735937
560,716.024582,225.353125,145.8,11271.7487482148,99.0841415591936,11091.3962120594,11453.1314314424,11270.9781838136,99.3855530225857,11090.2558748664,11452.7513559019
561,1474.158717,803.759198,97.2,11067.6971589953,85.4409556273448,10902.7643176445,11221.2760351450,11068.0229044035,86.2194098338207,10903.4256522585,11222.2734087512
566,175.368491,596.827014,175.2,10246.2289274220,88.5789870103784,10100.0762039702,10399.6166964325,10243.3158438359,88.6197715326872,10097.2335567426,10396.0169187289
567,1909.321421,736.340537,56.4,10883.0658186807,101.223122285735,10715.3784918402,11052.9951257528,10886.9601440245,101.255788727343,10719.3372817431,11056.7438348743
569,1198.235627,685.185909,112.8,11191.6357152087,108.708662160374,10979.0830268043,11390.9119393161,11185.5811504523,108.553349098573,10974.0894748942,11384.8897109340
570,134.993059,837.842639,237.6,10785.608192784,437.651959171046,10045.3583967628,11504.8860162829,10786.0095002039,436.219874641819,10048.2667826972,11502.8476675052
571,687.320905,217.897855,113.4,11290.1394099511,104.791032605958,11096.6054139089,11482.6939352768,11274.5287727320,108.605432744422,11077.2171481134,11471.0894659887
580,1344.352381,434.334204,258,10796.2955765454,187.705741343036,10476.8758326707,11099.0015502260,11070.7537002232,119.763225917806,10848.6581686399,11283.0961576538
584,458.003829,-387.060583,54.6,11326.2873097982,78.8272158763432,11187.6145288738,11480.7125443952,11332.8755664690,78.793866202714,11194.3047490292,11484.7762771121
585,882.301583,130.457885,150,11240.8969729104,86.541924123289,11092.0740147309,11403.9667755197,11242.6804441321,86.6732852420085,11092.2634609625,11404.5130817324
587,-14.146129,907.693338,212.4,10903.8203790872,238.886026139511,10482.2412226900,11315.8593422756,10900.7823253127,238.618890408037,10480.8353205649,11311.7518497390
590,1106.469702,200.065108,183,11257.7648446281,81.7693858196393,11092.2671492649,11414.0863167423,11264.4268178582,79.432582655639,11103.8233578523,11413.7475168255
591,600.836143,426.635232,164.4,10914.1135742311,63.8911409507224,10796.2247274772,11035.5373017508,10915.8672358591,63.927333385163,10797.8770674274,11037.3043978003
595,1449.966579,814.341523,120,11072.5642078322,86.0166132375884,10905.5786661446,11227.4120729729,11073.1142321822,86.6918476648098,10906.6539052052,11228.4969279565
621,1788.622567,904.062638,192,10975.6934182085,78.4611860414858,10830.8203925335,11114.2372240127,11009.6655643963,72.1424181356563,10870.7853924542,11140.0730706762
623,51.996847,734.06788,265.8,10803.4542077846,299.097680755496,10293.9297475646,11298.3950361749,10811.0100994224,300.804620519677,10298.1062002943,11307.7184050776
626,823.542266,39.129137,160.8,11242.8244845171,111.922762049514,11059.8649684753,11436.2641082905,11243.2284977241,111.761965865094,11057.8168991158,11435.7173672043
632,1331.35006,621.427243,111.6,10963.9950624966,144.081011825502,10705.7248022378,11214.3009533702,10956.8695876183,145.693899649547,10697.1346771533,11208.2589015425
633,1339.779926,631.226522,111.6,10967.5118435315,141.134603936342,10715.5640554604,11211.7824112276,10961.3930420089,142.659269504351,10706.7720335739,11206.8852810647
641,1859.271868,396.773917,54.6,11101.7762257683,79.8268480747626,10953.2538857342,11245.5896778972,11165.6960286454,71.5462935161689,11030.8759625226,11300.4406101586
644,1238.505426,602.23429,136.8,11206.6519810278,128.300953128903,10958.5126137163,11445.6809548526,11206.9119475764,128.323059796153,10958.9363002190,11446.3252804717
648,173.203348,779.912878,223.2,10767.5871473790,343.064997497504,10182.7422584981,11334.8909530525,10767.3418267213,337.924493442360,10191.0427615198,11326.1352385583
649,1981.124539,742.890178,22.2,10797.3371816241,126.287350992924,10594.7241464562,11004.1517748274,10795.8040220147,127.301686852227,10591.6137358347,11004.0734357795
650,1135.526564,503.430813,199.8,11508.3698479207,171.955000690698,11209.9789407825,11789.4727631199,11480.1100223752,163.727348388825,11195.8658315451,11747.9215145866
655,158.268451,577.113927,188.4,10222.1417959461,90.4094745663209,10075.0537445399,10375.6715646548,10220.1517717854,90.520109433593,10073.0422051001,10373.7819618195
658,1643.267557,986.595137,144,11057.0597320757,66.9850473937486,10920.0226209837,11180.1500246061,11062.9599169739,66.7314573575665,10926.4852001685,11185.5503487225
663,1554.804453,893.011662,272.4,11073.5550144013,71.7700004021073,10933.1139695697,11204.8373136270,11088.4743780112,70.1600904109003,10950.9490919326,11217.1095218584
664,1556.803948,907.313702,241.8,11074.2354246211,70.9544362157418,10934.7329508430,11203.8011792248,11085.5111916035,70.0422027840999,10948.1047160822,11213.9833789199
676,1186.986082,-320.723637,229.8,11927.7220598241,155.167763594479,11632.1995998492,12223.9388150616,11835.1262970861,141.626471940789,11562.9247838844,12107.6885393598
678,193.257704,545.332232,183,10143.5441110465,98.664690838719,9985.0702439485,10312.6154526030,10143.5441110465,98.664690838719,9985.0702439485,10312.6154526030
680,1708.235784,845.152721,169.2,11029.570534208,69.2822056522978,10891.1255050355,11157.6120424466,11043.7263203349,68.0807008695597,10904.5168086790,11172.3393333071
