id,SiteName,Handle,Longitude,Latitude,Altitude,GeoPolitic,Chronology,AgeType,AgeModel,AgeBoundYo,AgeBoundOl,X21_18,X18_145,X145_129,X129_115,X115_105,Source,lon_alb_km,lat_alb_km,alt_km,picea_decline_idw_2d_age_mean,picea_decline_idw_2d_age_older,picea_decline_idw_2d_age_younger,picea_decline_depth,picea_decline_age_basis,alnus_decline_idw_2d_age_mean,alnus_decline_idw_2d_age_older,alnus_decline_idw_2d_age_younger,alnus_decline_depth,alnus_decline_age_basis,quercus_rise_idw_2d_age_mean,quercus_rise_idw_2d_age_older,quercus_rise_idw_2d_age_younger,quercus_rise_depth,quercus_rise_age_basis
199,Lake Erie,ERIE,-82.76,41.92,168,Canada,367,Radiocarbon years BP,linear interpolation,-20,13030,n,y,y,y,y,access,1029.211443,298.668979,100.8,11269,11419,11110,300,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,11520,11638,11400,300,pollen stratigraphic: quercus rise idw-2d
203,East Twin Lake (US:Ohio),ETWINOH,-81.333333,41.198611,322,United States,375,Radiocarbon years BP,NA,40,11660,n,n,y,y,y,access,1152.401148,230.79479,193.2,11255,11413,11079,1944,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,11695,11846,11548,1944,pollen stratigraphic: quercus rise idw-2d
209,Fawn Lake (CA:Ontario),FAWN,-79.39,45.41,333,Canada,386,Radiocarbon years BP,linear interpolation,-30,10730,n,n,n,y,y,access,1216.867385,746.024701,199.8,11150,11332,10960,460,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,Frains Lake,FRAINSLK,-83.63,42.33,271,United States,405,Radiocarbon years BP,linear interpolation,0,13000,n,y,y,y,y,access,955.67651,337.564449,162.6,11242,11380,11105,1065,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,11373,11483,11258,1065,pollen stratigraphic: quercus rise idw-2d
223,Fresh Pond,FRESHPND,-71.575,41.158333,28,United States,410,Radiocarbon years BP,linear interpolation,-40,13020,n,y,y,y,y,access,1906.782211,383.724264,16.8,11124,11260,10984,365,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,11606,11767,11453,365,pollen stratigraphic: quercus rise idw-2d
224,Fudger Lake,FUDGER,-83.533333,40.1,320,United States,413,Radiocarbon years BP,linear interpolation,-20,14600,n,y,y,y,y,access,997.631533,77.488189,192,11274,11432,11114,2080,pollen stratigraphic: picea decline idw-2d,10964,11146,10781,2096,pollen stratigraphic: alnus decline idw-2d,11617,11785,11454,2064,pollen stratigraphic: quercus rise idw-2d
227,Gass Lake,GASS,-87.733333,44.05,211,United States,420,Radiocarbon years BP,linear interpolation,0,12000,n,n,y,y,y,access,621.962462,505.553041,126.6,10867,10977,10757,599,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,Lac Geai,GEAI,-73.992778,45.995833,365,Canada,424,Radiocarbon years BP,linear interpolation (+ extrapolation),0,10390,n,n,n,y,y,access,1590.114519,893.752968,219,NA,NA,NA,NA,NA,11381,11508,11250,365,pollen stratigraphic: alnus decline idw-2d,NA,NA,NA,NA,NA
246,Glimmerglass Lake,GLIMMER,-89.3181,46.2177,522,United States,NA,Calibrated radiocarbon years B.P.,Linear interpolation,40,11870,n,n,n,y,y,excel,484.911196,751.647821,313.2,10814,10967,10662,270,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,Gould Pond,GOULD,-69.316667,44.983333,89,United States,449,Radiocarbon years BP,"linear interpolation, straight line fit (least squares)",-30,12260,n,n,y,y,y,access,1953.050255,865.424247,53.4,10800,11006,10599,1580,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,Graham Lake,GRAHAM,-77.35,45.183333,381,Canada,452,Radiocarbon years BP,linear interpolation,0,10050,n,n,n,y,y,access,1369.729389,747.534452,228.6,11061,11242,10865,1154,pollen stratigraphic: picea decline idw-2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
